ph,temperature,turbidity,fish
6.0,27.0,4.0,katla
6.02,26.96,4.13,katla
6.08,26.93,3.95,katla
6.08,27.23,3.91,katla
6.03,26.86,3.91,katla
6.01,26.43,3.66,katla
5.97,26.7,4.06,katla
5.95,26.58,4.29,katla
5.99,27.02,3.72,katla
5.97,27.03,3.77,katla
6.02,26.82,3.94,katla
5.97,27.56,4.0,katla
5.95,27.25,3.76,katla
6.01,26.41,3.73,katla
6.01,27.22,4.03,katla
5.99,26.91,3.7,katla
5.96,26.86,4.21,katla
6.02,26.47,4.06,katla
5.98,26.8,4.12,katla
6.05,27.28,3.83,katla
5.98,27.1,4.2,katla
5.98,26.94,3.78,katla
5.94,27.24,4.27,katla
6.0,27.3,4.07,katla
5.97,27.11,4.31,katla
6.0,27.47,3.48,katla
6.04,27.03,3.94,katla
6.0,26.4,3.96,katla
6.02,27.44,3.9,katla
5.96,26.85,4.18,katla
6.02,26.84,4.1,katla
6.0,27.29,3.86,katla
5.98,26.88,3.71,katla
6.01,27.08,4.0,katla
5.99,26.58,3.92,katla
5.98,26.76,3.97,katla
6.02,27.57,4.03,katla
6.01,26.98,3.62,katla
6.0,27.02,4.49,katla
5.99,27.09,3.99,katla
5.94,27.34,4.15,katla
6.04,26.73,4.28,katla
5.93,27.18,4.44,katla
5.95,26.83,4.02,katla
5.97,26.53,4.01,katla
5.95,27.14,3.82,katla
6.08,26.77,3.94,katla
6.04,26.63,4.05,katla
6.07,26.52,4.04,katla
6.01,27.23,3.75,katla
7.6,28.0,5.9,sing
7.53,28.16,5.96,sing
7.61,28.1,5.76,sing
7.61,28.09,5.76,sing
7.69,28.14,5.66,sing
7.63,27.71,6.06,sing
7.66,27.75,6.09,sing
7.62,28.25,6.28,sing
7.59,27.77,5.72,sing
7.56,27.98,5.97,sing
7.61,28.25,5.9,sing
7.67,27.92,6.44,sing
7.63,27.74,5.69,sing
7.62,27.93,6.04,sing
7.62,27.98,5.73,sing
7.52,27.87,6.07,sing
7.61,27.63,5.93,sing
7.62,27.73,5.93,sing
7.6,27.66,5.97,sing
7.63,28.32,6.11,sing
